,country,year,iso_code,population,gdp,Continent,biofuel_consumption,coal_consumption,gas_consumption,hydro_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,solar_consumption,wind_consumption,total_consumption
267,Africa,2022,,1426736614.0,,,1.122,1103.578,1625.038,408.593,25.268,2329.607,23.925,47.402,62.294,5626.827
751,Algeria,2022,DZA,44903228.0,,AF,0.0,1.497,442.75,0.2,0.0,238.618,0.0,1.777,0.027,684.8690000000001
1123,Argentina,2022,ARG,45510324.0,,SA,13.931,14.399,456.83,62.283,18.687,382.783,7.473,7.659,36.929,1000.9739999999999
1342,Asia,2022,,4721383370.0,,,219.47,36848.836,15983.315,5207.568,1919.821,24734.361,1142.141,1944.585,2365.34,90365.43700000002
1705,Australia,2022,AUS,26177410.0,,OC,1.331,430.763,416.264,44.642,0.0,574.04,10.361,101.264,82.522,1661.187
1870,Austria,2022,AUT,8939617.0,,EU,4.775,28.292,79.128,92.647,0.0,134.479,14.99,8.391,18.889,381.59100000000007
1955,Azerbaijan,2022,AZE,10358078.0,,AS,0.0,0.002,121.015,4.158,0.0,68.315,0.328,0.159,0.217,194.19400000000002
1956,Azerbaijan,2022,AZE,10358078.0,,EU,0.0,0.002,121.015,4.158,0.0,68.315,0.328,0.159,0.217,194.19400000000002
2244,Bangladesh,2022,BGD,171186368.0,,AS,0.0,49.942,291.98,2.021,0.0,152.82,0.012,1.715,0.013,498.503
2409,Belarus,2022,BLR,9534956.0,,EU,0.0,10.722,184.624,0.894,11.733,86.814,0.839,0.743,0.48,296.84900000000005
2532,Belgium,2022,BEL,11655923.0,,EU,8.971,31.991,145.534,0.823,109.409,320.99,14.243,17.653,31.043,680.6570000000002
3099,Brazil,2022,BRA,215313504.0,,SA,241.951,162.662,319.762,1113.543,36.424,1390.7,168.461,78.544,212.824,3724.8709999999996
3387,Bulgaria,2022,BGR,6781955.0,,EU,3.216,72.747,27.035,9.823,41.152,61.56,7.115,5.224,3.906,231.77800000000002
3897,Canada,2022,CAN,38454328.0,,NA,23.495,107.233,1216.283,1038.782,216.76,1185.242,27.197,15.678,97.835,3928.505
4406,Chile,2022,CHL,19603736.0,,SA,0.0,61.168,74.595,58.003,0.0,221.373,19.564,37.69,24.417,496.81000000000006
4529,China,2022,CHN,1425887360.0,,AS,27.874,24559.486,3757.047,3397.424,1045.25,7821.524,563.745,1115.113,1988.45,44275.91299999999
4652,Colombia,2022,COL,51874028.0,,SA,9.491,28.493,125.85,167.736,0.0,266.994,9.275,1.31,0.195,609.344
5057,Croatia,2022,HRV,4030361.0,,EU,1.105,4.783,24.37,14.132,0.0,39.967,3.813,0.421,5.994,94.58500000000001
5306,Cyprus,2022,CYP,1251492.0,,AS,0.257,0.381,0.0,0.0,0.0,28.72,0.124,1.671,0.585,31.738
5307,Cyprus,2022,CYP,1251492.0,,EU,0.257,0.381,0.0,0.0,0.0,28.72,0.124,1.671,0.585,31.738
5365,Czechia,2022,CZE,10493990.0,,EU,3.989,163.592,73.764,5.457,77.61,114.839,17.369,5.985,1.672,464.27700000000004
5704,Denmark,2022,DNK,5882259.0,,EU,2.953,11.995,16.986,0.038,0.0,78.894,23.934,5.056,49.54,189.39600000000002
6158,Ecuador,2022,ECU,18001002.0,,SA,0.18,0.8,5.497,64.227,0.0,146.51,1.244,0.1,0.158,218.71599999999998
6403,Egypt,2022,EGY,110990096.0,,AF,0.0,14.266,607.476,35.968,0.0,421.248,0.0,13.102,13.409,1105.469
6404,Egypt,2022,EGY,110990096.0,,AS,0.0,14.266,607.476,35.968,0.0,421.248,0.0,13.102,13.409,1105.469
6556,Estonia,2022,EST,1326064.0,,EU,0.482,34.027,3.621,0.061,0.0,14.606,5.602,1.544,1.724,61.666999999999994
7002,Europe,2022,,744806995.0,,,239.864,3210.59,8740.663,1819.005,2426.417,9440.399,693.408,607.998,1365.527,28543.871
7549,Finland,2022,FIN,5540745.0,,EU,13.639,33.929,10.826,35.617,63.148,93.037,44.666,0.821,31.035,326.718
7672,France,2022,FRA,64626624.0,,EU,41.439,59.458,383.718,116.242,737.357,808.749,31.367,52.484,99.091,2329.9049999999997
8152,Germany,2022,DEU,83369840.0,,EU,34.683,647.222,772.9,45.625,86.812,1183.124,160.801,158.48,326.64,3416.287
8439,Greece,2022,GRC,10384972.0,,EU,2.326,20.013,61.967,11.863,0.0,171.01,1.617,18.649,28.364,315.80899999999997
9200,Hong Kong,2022,HKG,7488863.0,,AS,0.411,41.766,45.145,0.0,0.0,130.572,0.284,0.136,0.003,218.31699999999998
9323,Hungary,2022,HUN,9967304.0,,EU,3.488,13.813,91.793,0.459,39.559,96.34,6.584,12.121,1.576,265.73300000000006
9381,Iceland,2022,ISL,372903.0,,EU,0.234,0.0,0.0,36.958,0.0,9.826,14.821,0.0,0.015,61.854
9504,India,2022,IND,1417173120.0,,AS,36.198,5581.429,581.839,456.052,115.57,2791.583,130.065,248.09,182.617,10123.443000000001
9627,Indonesia,2022,IDN,275501344.0,,AS,96.636,1216.511,370.15,71.162,0.0,851.199,107.549,0.781,0.928,2714.9159999999997
9750,Iran,2022,IRN,88550568.0,,AS,0.0,21.139,2289.14,19.433,16.427,1025.341,0.071,1.905,3.25,3376.706
9873,Iraq,2022,IRQ,44496124.0,,AS,0.0,0.0,188.671,8.585,0.0,442.034,0.0,1.101,0.0,640.391
9996,Ireland,2022,IRL,5023108.0,,EU,3.097,11.806,52.0,1.842,0.0,87.688,3.302,0.353,29.591,189.679
10119,Israel,2022,ISR,9038313.0,,AS,0.632,43.437,112.869,0.061,0.0,128.11,0.383,18.494,0.09,304.07599999999996
10242,Italy,2022,ITA,59037472.0,,EU,12.217,84.773,652.692,73.416,0.0,686.015,72.053,71.749,53.87,1706.7849999999996
10407,Japan,2022,JPN,123951696.0,,AS,5.758,1365.525,1004.983,195.23,129.528,1835.925,130.974,266.965,21.309,4956.197
10524,Kazakhstan,2022,KAZ,19397998.0,,AS,0.0,398.668,217.139,24.003,0.0,216.296,0.007,4.42,6.598,867.1309999999999
10525,Kazakhstan,2022,KAZ,19397998.0,,EU,0.0,398.668,217.139,24.003,0.0,216.296,0.007,4.42,6.598,867.1309999999999
10756,Kuwait,2022,KWT,4268886.0,,AS,0.0,1.253,217.857,0.0,0.0,223.796,0.0,0.546,0.012,443.46399999999994
10889,Latvia,2022,LVA,1850654.0,,EU,0.42,0.238,8.104,7.172,0.0,20.653,2.557,0.018,0.508,39.67
11176,Lithuania,2022,LTU,2750058.0,,EU,1.325,2.234,16.074,1.217,0.0,37.408,0.929,0.538,3.942,63.667
11480,Luxembourg,2022,LUX,647601.0,,EU,1.485,0.514,6.122,0.18,0.0,28.196,1.137,0.565,0.873,39.071999999999996
11810,Malaysia,2022,MYS,33938216.0,,AS,13.967,260.545,493.819,84.758,0.0,479.647,3.682,7.094,0.0,1343.5120000000002
12186,Mexico,2022,MEX,127504120.0,,NA,2.723,69.79,965.857,93.121,27.144,1143.899,17.999,50.249,52.969,2423.7509999999993
12867,Morocco,2022,MAR,37457976.0,,AF,0.0,77.666,2.227,0.913,0.0,158.234,0.0,3.774,13.963,256.77700000000004
13432,Netherlands,2022,NLD,17564020.0,,EU,9.718,64.5,271.472,0.131,10.403,495.803,30.343,46.083,55.146,983.5989999999999
13655,New Zealand,2022,NZL,5185289.0,,OC,0.063,12.718,36.216,68.473,0.0,83.726,23.63,0.726,7.471,233.023
14307,North America,2022,,600323657.0,,,463.559,2958.294,11198.229,1811.065,2275.723,12689.955,273.241,608.449,1301.692,33580.207
14660,North Macedonia,2022,MKD,2093606.0,,EU,0.001,8.318,2.655,3.507,0.0,14.085,0.116,0.086,0.281,29.048999999999996
14825,Norway,2022,NOR,5434324.0,,EU,4.374,9.335,39.873,332.697,0.0,100.233,0.863,0.712,38.642,526.729
15405,Oceania,2022,,45038860.0,,,1.394,443.482,452.481,113.116,0.0,657.767,33.991,101.99,89.993,1894.214
15551,Oman,2022,OMN,4576300.0,,AS,0.0,0.978,285.143,0.0,0.0,125.06,0.0,3.815,0.31,415.306
15674,Pakistan,2022,PAK,235824864.0,,AS,0.0,177.129,383.859,91.36,55.746,275.142,2.863,2.321,12.126,1000.5459999999999
16108,Peru,2022,PER,34049588.0,,SA,5.077,8.137,96.207,77.537,0.0,138.074,2.471,2.355,5.035,334.8930000000001
16231,Philippines,2022,PHL,115559008.0,,AS,6.901,233.034,30.804,26.442,0.0,248.417,32.341,4.783,2.791,585.513
16354,Poland,2022,POL,39857144.0,,EU,12.417,501.431,179.302,5.131,0.0,405.305,22.837,21.212,50.688,1198.323
16477,Portugal,2022,PRT,10270857.0,,EU,3.2,0.105,56.066,16.956,0.0,126.909,11.715,8.025,34.765,257.741
16642,Qatar,2022,QAT,2695131.0,,AS,0.0,0.115,366.962,0.0,0.0,154.877,0.428,1.071,0.0,523.453
16807,Romania,2022,ROU,19659270.0,,EU,4.339,45.836,97.693,36.046,27.742,124.119,2.025,4.62,18.266,360.686
16882,Russia,2022,RUS,144713312.0,,AS,3.637,887.356,4080.453,515.343,559.65,1959.698,2.374,6.254,10.953,8025.718
16883,Russia,2022,RUS,144713312.0,,EU,3.637,887.356,4080.453,515.343,559.65,1959.698,2.374,6.254,10.953,8025.718
17342,Saudi Arabia,2022,SAU,36408824.0,,AS,0.0,1.279,1203.577,0.0,0.0,1986.281,0.0,2.167,0.015,3193.3189999999995
17573,Singapore,2022,SGP,5975689.0,,AS,0.0,4.814,130.594,0.0,0.0,738.583,3.203,1.74,0.0,878.934
17631,Slovakia,2022,SVK,5643455.0,,EU,1.942,29.302,51.444,9.309,39.768,51.024,6.739,1.702,0.013,191.243
17664,Slovenia,2022,SVN,2119843.0,,EU,0.872,8.296,7.945,8.208,14.024,31.303,0.841,1.399,0.015,72.90299999999999
