,country,year,population,gdp,biofuel_consumption,coal_consumption,gas_consumption,hydro_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,solar_consumption,wind_consumption
210,Africa,1965,321447378.0,,0.0,323.496,9.572,41.119,0.0,342.134,0.0,0.0,0.0
211,Africa,1966,329658389.0,,0.0,323.122,10.698,45.863,0.0,370.45,0.0,0.0,0.0
212,Africa,1967,338159967.0,,0.0,330.292,10.574,47.876,0.0,369.194,0.0,0.0,0.0
213,Africa,1968,346980412.0,,0.0,343.513,10.717,56.0,0.0,390.366,0.0,0.0,0.0
214,Africa,1969,356070643.0,,0.0,346.643,12.52,65.352,0.0,398.153,0.0,0.0,0.0
215,Africa,1970,365450443.0,,0.0,360.757,15.549,81.703,0.0,435.027,0.0,0.0,0.0
216,Africa,1971,375086296.0,,0.0,383.012,18.405,76.921,0.0,474.305,0.524,0.0,0.0
217,Africa,1972,384930776.0,,0.0,384.211,24.671,87.625,0.0,510.73,0.527,0.0,0.0
218,Africa,1973,395212420.0,,0.0,408.91,39.552,92.689,0.0,549.804,0.543,0.0,0.0
219,Africa,1974,406069208.0,,0.0,425.646,44.518,105.467,0.0,569.739,0.559,0.0,0.0
220,Africa,1975,417556976.0,,0.0,451.08,53.638,111.532,0.0,597.671,0.549,0.0,0.0
221,Africa,1976,429573262.0,,0.0,481.074,60.981,123.595,0.0,652.585,0.591,0.0,0.0
222,Africa,1977,441701768.0,,0.0,491.698,68.234,135.811,0.0,695.195,0.603,0.0,0.0
223,Africa,1978,454463053.0,,0.0,477.816,97.37,136.929,0.0,732.366,0.622,0.0,0.0
224,Africa,1979,467976240.0,,0.0,507.247,148.843,146.564,0.0,771.175,0.642,0.0,0.0
225,Africa,1980,481543145.0,,0.0,543.557,186.914,142.857,0.0,818.155,0.661,0.0,0.0
226,Africa,1981,495655683.0,,0.0,635.799,228.491,148.42,0.0,885.493,0.696,0.0,0.0
227,Africa,1982,510540596.0,,0.0,701.176,246.734,148.459,0.0,926.532,0.753,0.0,0.0
228,Africa,1983,525335348.0,,0.0,713.246,271.275,133.795,0.0,964.704,0.734,0.0,0.0
229,Africa,1984,540183119.0,,0.0,762.898,259.903,131.556,11.137,982.036,0.747,0.0,0.0
230,Africa,1985,555652995.0,,0.0,787.166,278.843,146.222,15.081,1007.324,0.859,0.0,0.0
231,Africa,1986,571646786.0,,0.0,805.356,313.271,151.236,24.979,984.456,1.973,0.0,0.0
232,Africa,1987,588080029.0,,0.0,828.32,323.384,145.059,17.499,1038.56,1.973,0.0,0.0
233,Africa,1988,604511530.0,,0.0,890.161,358.445,158.475,29.774,1081.791,1.884,0.0,0.0
234,Africa,1989,621167964.0,,0.0,835.621,371.471,166.408,31.494,1117.556,1.855,0.0,0.0
235,Africa,1990,638157571.0,,0.0,877.678,398.645,169.301,23.974,1135.74,2.456,0.0,0.0
236,Africa,1991,655040869.0,,0.0,853.762,401.636,179.346,25.946,1141.671,2.518,0.0,0.0
237,Africa,1992,671931834.0,,0.0,858.831,421.27,171.092,26.355,1163.94,2.629,0.0,0.0
238,Africa,1993,689140286.0,,0.0,871.714,412.644,167.61,20.586,1175.885,2.934,0.0,0.006
239,Africa,1994,706488557.0,,0.0,894.448,431.828,170.311,27.515,1213.968,2.61,0.0,0.016
240,Africa,1995,724331972.0,,0.0,922.471,461.243,176.736,32.067,1255.875,3.145,0.0,0.019
241,Africa,1996,742765067.0,,0.0,935.228,484.192,184.269,33.412,1283.199,3.908,0.0,0.021
242,Africa,1997,761224818.0,,0.0,959.019,474.476,188.811,35.886,1323.631,4.328,0.0,0.021
243,Africa,1998,779908311.0,,0.0,937.039,499.337,197.098,38.593,1354.957,5.356,0.0,0.022
244,Africa,1999,799099611.0,,0.0,966.011,504.02,209.013,36.425,1404.469,5.315,0.0,0.059
245,Africa,2000,818952374.0,,0.0,963.73,556.822,222.531,36.916,1407.994,7.232,0.035,0.519
246,Africa,2001,839464127.0,,0.0,975.926,634.636,237.576,30.218,1422.895,7.437,0.044,1.221
247,Africa,2002,860611762.0,,0.491,934.422,670.636,248.178,33.586,1456.789,7.325,0.049,1.295
248,Africa,2003,882349569.0,,0.541,1017.048,711.536,239.477,35.24,1501.107,8.252,0.058,1.553
249,Africa,2004,904781595.0,,0.637,1119.162,783.106,251.336,36.958,1571.339,9.303,0.071,2.214
250,Africa,2005,927898412.0,,0.056,1039.073,808.028,254.379,31.029,1641.086,9.397,0.084,2.235
251,Africa,2006,951740562.0,,0.072,1054.097,843.748,261.918,27.375,1657.112,11.81,0.108,2.426
252,Africa,2007,976461747.0,,0.791,1071.633,900.415,269.185,30.707,1719.958,9.803,0.143,2.873
253,Africa,2008,1001981577.0,,0.61,1180.725,935.503,272.483,35.066,1806.778,10.172,0.204,3.686
254,Africa,2009,1028200528.0,,0.34,1176.002,941.238,278.046,34.318,1871.025,10.974,0.268,4.438
255,Africa,2010,1055233717.0,,0.211,1165.736,981.42,298.874,36.028,1950.049,11.493,0.6,6.341
256,Africa,2011,1082676070.0,,0.505,1147.93,1061.593,305.471,34.154,1916.333,12.089,1.661,6.584
257,Africa,2012,1110797495.0,,0.607,1119.282,1147.735,304.926,34.119,2036.679,12.521,2.722,6.898
258,Africa,2013,1140180888.0,,0.589,1131.415,1170.619,320.256,36.891,2110.812,13.566,2.151,9.794
259,Africa,2014,1170299297.0,,0.568,1184.301,1203.41,336.394,35.859,2132.531,16.062,5.164,13.708
260,Africa,2015,1201108186.0,,0.714,1120.459,1326.687,324.032,31.622,2192.255,20.12,9.723,23.996
261,Africa,2016,1232111820.0,,0.65,1186.439,1371.489,312.725,38.6,2207.707,20.435,14.24,29.92
262,Africa,2017,1263333997.0,,0.637,1185.35,1450.059,333.388,36.246,2233.681,21.779,18.51,36.227
263,Africa,2018,1295265310.0,,0.988,1164.702,1544.472,354.023,29.4,2255.987,23.124,22.178,39.059
264,Africa,2019,1327701380.0,,0.855,1230.668,1551.534,364.746,33.521,2274.93,23.529,29.347,50.826
265,Africa,2020,1360677453.0,,0.872,1178.545,1536.929,388.309,24.957,2024.547,22.485,40.155,50.177
266,Africa,2021,1393676724.0,,1.11,1159.794,1684.705,398.662,31.023,2208.283,22.461,46.854,59.609
267,Africa,2022,1426736614.0,,1.122,1103.578,1625.038,408.593,25.268,2329.607,23.925,47.402,62.294
268,Africa (EI),1965,,,0.0,323.496,9.572,41.119,0.0,342.134,0.0,0.0,0.0
269,Africa (EI),1966,,,0.0,323.122,10.698,45.863,0.0,370.45,0.0,0.0,0.0
270,Africa (EI),1967,,,0.0,330.292,10.574,47.876,0.0,369.194,0.0,0.0,0.0
271,Africa (EI),1968,,,0.0,343.513,10.717,56.0,0.0,390.366,0.0,0.0,0.0
272,Africa (EI),1969,,,0.0,346.643,12.52,65.352,0.0,398.153,0.0,0.0,0.0
273,Africa (EI),1970,,,0.0,360.757,15.548,81.703,0.0,435.027,0.0,0.0,0.0
274,Africa (EI),1971,,,0.0,383.012,18.405,76.921,0.0,474.305,0.524,0.0,0.0
275,Africa (EI),1972,,,0.0,384.211,24.671,87.625,0.0,510.73,0.527,0.0,0.0
276,Africa (EI),1973,,,0.0,408.91,39.552,92.689,0.0,549.804,0.543,0.0,0.0
277,Africa (EI),1974,,,0.0,425.646,44.518,105.467,0.0,569.739,0.559,0.0,0.0
278,Africa (EI),1975,,,0.0,451.08,53.638,111.532,0.0,597.671,0.549,0.0,0.0
279,Africa (EI),1976,,,0.0,481.074,60.981,123.595,0.0,652.585,0.591,0.0,0.0
280,Africa (EI),1977,,,0.0,491.698,68.234,135.811,0.0,695.195,0.603,0.0,0.0
281,Africa (EI),1978,,,0.0,477.816,97.37,136.929,0.0,732.366,0.622,0.0,0.0
282,Africa (EI),1979,,,0.0,507.247,148.843,146.564,0.0,771.175,0.642,0.0,0.0
283,Africa (EI),1980,,,0.0,543.557,186.914,142.857,0.0,818.155,0.661,0.0,0.0
284,Africa (EI),1981,,,0.0,635.799,228.491,148.42,0.0,885.493,0.696,0.0,0.0
285,Africa (EI),1982,,,0.0,701.176,246.734,148.459,0.0,926.532,0.753,0.0,0.0
286,Africa (EI),1983,,,0.0,713.246,271.275,133.795,0.0,964.704,0.734,0.0,0.0
287,Africa (EI),1984,,,0.0,762.898,259.903,131.556,11.137,982.036,0.747,0.0,0.0
288,Africa (EI),1985,,,0.0,787.166,278.843,146.222,15.081,1007.324,0.859,0.0,0.0
289,Africa (EI),1986,,,0.0,805.356,313.271,151.236,24.979,984.456,1.973,0.0,0.0
290,Africa (EI),1987,,,0.0,828.32,323.384,145.059,17.499,1038.56,1.973,0.0,0.0
291,Africa (EI),1988,,,0.0,890.161,358.445,158.475,29.774,1081.791,1.884,0.0,0.0
292,Africa (EI),1989,,,0.0,835.621,371.471,166.408,31.494,1117.556,1.855,0.0,0.0
293,Africa (EI),1990,,,0.0,877.678,398.645,169.301,23.974,1135.74,2.456,0.0,0.0
294,Africa (EI),1991,,,0.0,853.762,401.636,179.346,25.946,1141.671,2.518,0.0,0.0
295,Africa (EI),1992,,,0.0,858.831,421.27,171.092,26.355,1163.94,2.629,0.0,0.0
296,Africa (EI),1993,,,0.0,871.714,412.644,167.61,20.586,1175.885,2.934,0.0,0.006
297,Africa (EI),1994,,,0.0,894.448,431.828,170.311,27.515,1213.968,2.61,0.0,0.016
298,Africa (EI),1995,,,0.0,922.471,461.243,176.736,32.067,1255.875,3.145,0.0,0.019
299,Africa (EI),1996,,,0.0,935.228,484.192,184.269,33.412,1283.199,3.908,0.0,0.021
300,Africa (EI),1997,,,0.0,959.019,474.476,188.811,35.886,1323.631,4.328,0.0,0.021
301,Africa (EI),1998,,,0.0,937.039,499.337,197.098,38.593,1354.956,5.356,0.0,0.022
302,Africa (EI),1999,,,0.0,966.011,504.02,209.013,36.425,1404.469,5.315,0.0,0.059
303,Africa (EI),2000,,,0.0,963.731,556.822,222.531,36.916,1407.994,7.232,0.035,0.519
304,Africa (EI),2001,,,0.0,975.926,634.636,237.576,30.218,1422.895,7.437,0.044,1.221
305,Africa (EI),2002,,,0.491,934.422,670.636,248.178,33.586,1456.789,7.325,0.049,1.295
306,Africa (EI),2003,,,0.541,1017.048,711.536,239.477,35.24,1501.107,8.252,0.058,1.553
307,Africa (EI),2004,,,0.637,1119.162,783.106,251.336,36.958,1571.339,9.303,0.071,2.214
308,Africa (EI),2005,,,0.056,1039.073,808.028,254.379,31.029,1641.086,9.397,0.084,2.235
309,Africa (EI),2006,,,0.072,1054.097,843.748,261.918,27.375,1657.112,11.81,0.108,2.426
310,Africa (EI),2007,,,0.791,1071.633,900.414,269.185,30.707,1719.958,9.803,0.143,2.873
311,Africa (EI),2008,,,0.61,1180.725,935.503,272.483,35.066,1806.778,10.172,0.204,3.686
312,Africa (EI),2009,,,0.34,1176.002,941.238,278.046,34.318,1871.025,10.974,0.268,4.438
313,Africa (EI),2010,,,0.211,1165.736,981.42,298.874,36.028,1950.049,11.493,0.6,6.341
314,Africa (EI),2011,,,0.505,1147.93,1061.593,305.471,34.154,1916.333,12.089,1.661,6.584
315,Africa (EI),2012,,,0.607,1119.282,1147.735,304.926,34.119,2036.679,12.521,2.722,6.898
316,Africa (EI),2013,,,0.589,1131.415,1170.619,320.256,36.891,2110.812,13.566,2.151,9.794
317,Africa (EI),2014,,,0.568,1184.301,1203.41,336.394,35.859,2132.531,16.062,5.164,13.708
318,Africa (EI),2015,,,0.714,1120.459,1326.687,324.032,31.622,2192.255,20.12,9.723,23.996
319,Africa (EI),2016,,,0.65,1186.439,1371.489,312.725,38.6,2207.707,20.435,14.24,29.92
320,Africa (EI),2017,,,0.637,1185.35,1450.059,333.388,36.246,2233.681,21.779,18.51,36.227
321,Africa (EI),2018,,,0.988,1164.702,1544.472,354.023,29.4,2255.987,23.124,22.178,39.059
322,Africa (EI),2019,,,0.855,1230.668,1551.534,364.746,33.521,2274.93,23.529,29.347,50.826
323,Africa (EI),2020,,,0.872,1178.545,1536.928,388.309,24.957,2024.547,22.485,40.155,50.177
324,Africa (EI),2021,,,1.11,1159.794,1684.705,398.662,31.023,2208.283,22.461,46.854,59.609
325,Africa (EI),2022,,,1.122,1103.578,1625.038,408.593,25.268,2329.607,23.925,47.402,62.294
694,Algeria,1965,12381262.0,35661975552.0,0.0,0.814,7.431,1.183,0.0,15.405,0.0,0.0,0.0
695,Algeria,1966,12613398.0,33932634112.0,0.0,0.791,7.719,1.05,0.0,20.273,0.0,0.0,0.0
696,Algeria,1967,12897121.0,37094768640.0,0.0,0.605,7.488,1.212,0.0,18.942,0.0,0.0,0.0
697,Algeria,1968,13190979.0,41423888384.0,0.0,0.64,7.873,1.665,0.0,20.167,0.0,0.0,0.0
698,Algeria,1969,13491022.0,45387460608.0,0.0,0.814,10.352,1.067,0.0,21.306,0.0,0.0,0.0
699,Algeria,1970,13795915.0,49945669632.0,0.0,0.965,9.731,1.715,0.0,24.348,0.0,0.0,0.0
700,Algeria,1971,14110269.0,45701218304.0,0.0,0.267,11.049,0.976,0.0,27.44,0.0,0.0,0.0
701,Algeria,1972,14439750.0,55293906944.0,0.0,0.233,12.83,1.464,0.0,30.121,0.0,0.0,0.0
702,Algeria,1973,14786473.0,57097850880.0,0.0,0.267,17.859,2.224,0.0,32.9,0.0,0.0,0.0
703,Algeria,1974,15153601.0,60577882112.0,0.0,0.221,20.674,1.47,0.0,36.544,0.0,0.0,0.0
704,Algeria,1975,15724698.0,64883814400.0,0.0,0.279,28.49,0.97,0.0,40.631,0.0,0.0,0.0
705,Algeria,1976,16500516.0,69150105600.0,0.0,0.547,33.688,1.15,0.0,46.718,0.0,0.0,0.0
706,Algeria,1977,17134196.0,75438030848.0,0.0,0.709,35.901,0.795,0.0,52.806,0.0,0.0,0.0
707,Algeria,1978,17632646.0,85103919104.0,0.0,0.361,57.654,0.739,0.0,54.608,0.0,0.0,0.0
708,Algeria,1979,18166982.0,92753895424.0,0.0,0.837,81.524,0.86,0.0,65.319,0.0,0.0,0.0
709,Algeria,1980,18739378.0,94481653760.0,0.0,0.744,109.436,0.76,0.0,66.202,0.0,0.0,0.0
710,Algeria,1981,19351356.0,96860520448.0,0.0,0.523,142.257,1.082,0.0,71.323,0.0,0.0,0.0
711,Algeria,1982,20000098.0,103073660928.0,0.0,9.711,161.411,1.416,0.0,75.573,0.0,0.0,0.0
712,Algeria,1983,20682110.0,108430385152.0,0.0,8.664,176.715,0.695,0.0,84.892,0.0,0.0,0.0
713,Algeria,1984,21393532.0,114406670336.0,0.0,9.606,155.251,1.337,0.0,94.002,0.0,0.0,0.0
714,Algeria,1985,22132910.0,120364212224.0,0.0,10.025,153.807,1.91,0.0,96.554,0.0,0.0,0.0
715,Algeria,1986,22882560.0,119145037824.0,0.0,10.293,168.437,0.739,0.0,98.021,0.0,0.0,0.0
716,Algeria,1987,23586098.0,118321217536.0,0.0,12.305,172.288,1.476,0.0,99.101,0.0,0.0,0.0
